gene_id	cluster
YAL018C	1
YAR060C	1
YBL065W	1
YBL098W	1
YBL112C	1
YBR148W	1
YBR176W	1
YBR262C	1
YBR274W	1
YCL069W	1
YCR009C	1
YDL080C	1
YDR006C	1
YDR151C	1
YDR323C	1
YDR374C	1
YEL028W	1
YER017C	1
YER130C	1
YER185W	1
YER190W	1
YFL061W	1
YFR020W	1
YGL215W	1
YGL251C	1
YGL261C	1
YGR006W	1
YGR031W	1
YGR059W	1
YGR226C	1
YHR033W	1
YHR034C	1
YIL154C	1
YIL161W	1
YJL143W	1
YJL160C	1
YJL216C	1
YJR020W	1
YJR021C	1
YJR046W	1
YJR108W	1
YJR120W	1
YKL175W	1
YKL186C	1
YLL059C	1
YLL063C	1
YLR094C	1
YLR122C	1
YLR464W	1
YMR031W-A	1
YMR064W	1
YMR086C-A	1
YMR150C	1
YMR151W	1
YMR154C	1
YMR165C	1
YNL190W	1
YNL230C	1
YOL066C	1
YOL073C	1
YOL075C	1
YOL114C	1
YOR363C	1
YOR393W	1
YPL016W	1
YPL162C	1
YPR054W	1
YPR195C	1
YPR202W	1
YAR066W	2
YBR013C	2
YBR136W	2
YBR208C	2
YDL056W	2
YDL102W	2
YDR283C	2
YGL126W	2
YGR150C	2
YHR092C	2
YHR099W	2
YIL066C	2
YJL222W	2
YKL203C	2
YLR024C	2
YOL104C	2
YOR353C	2
YPL022W	2
YPL136W	2
YPL174C	2
YPL208W	2
YBL025W	3
YBR094W	3
YBR095C	3
YBR098W	3
YBR194W	3
YDL172C	3
YDR051C	3
YDR089W	3
YDR163W	3
YDR281C	3
YDR482C	3
YEL063C	3
YFL006W	3
YGL210W	3
YGR047C	3
YGR087C	3
YGR147C	3
YGR180C	3
YGR275W	3
YHL038C	3
YHR048W	3
YIR023W	3
YJR055W	3
YJR089W	3
YKL075C	3
YKL108W	3
YKR007W	3
YKR037C	3
YLR358C	3
YMR265C	3
YNL047C	3
YNL165W	3
YNL171C	3
YNL245C	3
YNL289W	3
YNR023W	3
YNR065C	3
YOR080W	3
YOR166C	3
YPL151C	3
YPR037C	3
YPR111W	3
YPR133C	3
YPR161C	3
YPR168W	3
YBL026W	4
YBL051C	4
YBR058C	4
YBR102C	4
YBR110W	4
YBR171W	4
YBR196C	4
YBR236C	4
YDL052C	4
YDL192W	4
YDL193W	4
YDR174W	4
YDR201W	4
YDR237W	4
YDR308C	4
YDR410C	4
YDR510W	4
YER019C-A	4
YGL068W	4
YGL100W	4
YGL127C	4
YGL200C	4
YGL233W	4
YGR057C	4
YGR227W	4
YHL017W	4
YHR060W	4
YHR083W	4
YHR121W	4
YHR192W	4
YIL118W	4
YIL138C	4
YJL108C	4
YKL060C	4
YKL114C	4
YKR002W	4
YLL006W	4
YLR207W	4
YML035C	4
YML069W	4
YML086C	4
YMR112C	4
YMR203W	4
YMR237W	4
YMR289W	4
YMR303C	4
YNL031C	4
YNL070W	4
YNL158W	4
YNL167C	4
YNL250W	4
YNR030W	4
YNR035C	4
YNR050C	4
YOL038W	4
YOL086C	4
YOR076C	4
YOR157C	4
YOR189W	4
YOR331C	4
YOR357C	4
YPL215W	4
YPL259C	4
YPR046W	4
YPR197C	4
